en|az|pos|example
I|mən|pron|I am from Baku.
you|sən / siz|pron|You are right.
he|o (kişi)|pron|He works at a bank.
she|o (qadın)|pron|She is my sister.
it|o (əşya)|pron|It is very cold today.
we|biz|pron|We live in Azerbaijan.
they|onlar|pron|They are my friends.
my|mənim|adj|This is my car.
your|sənin / sizin|adj|Where is your office?
his|onun (kişi)|adj|His name is Samir.
her|onun (qadın)|adj|Her phone is new.
our|bizim|adj|Our team is small.
their|onların|adj|Their house is big.
this|bu|pron|This is important.
that|o|pron|That was a good idea.
these|bunlar|pron|These files are old.
those|onlar|pron|Those days were hard.
who|kim|pron|Who is calling?
what|nə|pron|What do you need?
where|harada|adv|Where do you work?
when|nə vaxt|adv|When does it start?
why|niyə|adv|Why is it slow?
how|necə|adv|How does this work?
which|hansı|pron|Which one is better?
and|və|conj|Tea and coffee.
but|amma|conj|I want to, but I can't.
or|və ya|conj|Now or later?
because|çünki|conj|I am late because of traffic.
if|əgər|conj|If you want, we can start.
so|beləliklə|conj|It was late, so I went home.
also|həmçinin|adv|I also need a laptop.
not|deyil|adv|This is not correct.
yes|bəli|adv|Yes, I agree.
no|xeyr|adv|No, that is wrong.
in|-də / içində|prep|The key is in the drawer.
on|üstündə|prep|The book is on the table.
at|-da (nöqtə)|prep|I am at work.
to|-a / -ə|prep|I go to the office.
from|-dan / -dən|prep|A message from the bank.
with|ilə|prep|I work with him.
without|-sız / -siz|prep|Coffee without sugar.
for|üçün|prep|This is for you.
of|-in / -nın|prep|The name of the file.
about|haqqında|prep|We talked about the project.
under|altında|prep|The cable is under the desk.
over|üzərində|prep|The plane flew over the city.
between|arasında|prep|Between us.
near|yaxın|prep|The bank is near the metro.
after|sonra|prep|After lunch.
before|əvvəl|prep|Before the meeting.
during|müddətində|prep|During the test.
until|-a qədər|prep|Wait until Monday.
a|bir (qeyri-müəyyən)|art|I need a pen.
the|müəyyənlik artiklı|art|The report is ready.
some|bir qədər|det|I need some help.
any|hər hansı|det|Do you have any questions?
all|hamısı|det|All files are saved.
many|çoxlu (saylı)|det|Many people came.
much|çox (sayılmayan)|det|Not much time left.
few|az (saylı)|det|A few minutes.
little|az (sayılmayan)|det|A little water.
more|daha çox|det|I need more time.
most|əksəriyyət|det|Most users agree.
other|digər|adj|The other option.
same|eyni|adj|The same problem again.
every|hər|det|Every day.
each|hər biri|det|Each department has a head.
both|hər ikisi|det|Both answers are right.
one|bir|num|One moment, please.
two|iki|num|Two hours.
three|üç|num|Three days.
four|dörd|num|Four people.
five|beş|num|Five minutes.
six|altı|num|Six months.
seven|yeddi|num|Seven items.
eight|səkkiz|num|Eight hours a day.
nine|doqquz|num|Nine o'clock.
ten|on|num|Ten percent.
hundred|yüz|num|Two hundred manats.
thousand|min|num|A thousand users.
million|milyon|num|One million records.
first|birinci|adj|The first step.
second|ikinci|adj|The second floor.
last|sonuncu|adj|The last message.
next|növbəti|adj|The next meeting.
here|burada|adv|Sign here, please.
there|orada|adv|Put it there.
now|indi|adv|I am busy now.
then|sonra|adv|Then we can talk.
today|bu gün|adv|Today is Monday.
tomorrow|sabah|adv|See you tomorrow.
yesterday|dünən|adv|I called you yesterday.
always|həmişə|adv|I always check the logs.
never|heç vaxt|adv|I never skip backups.
often|tez-tez|adv|It often fails.
sometimes|bəzən|adv|Sometimes it is slow.
usually|adətən|adv|I usually start at nine.
again|yenidən|adv|Try again.
still|hələ də|adv|It is still running.
already|artıq|adv|I already sent it.
yet|hələ|adv|Not ready yet.
soon|tezliklə|adv|I will call you soon.
very|çox|adv|Very important.
too|həddindən artıq|adv|Too expensive.
enough|kifayət qədər|adv|That is enough.
only|yalnız|adv|Only two people know.
just|elə indicə / sadəcə|adv|I just finished.
maybe|bəlkə|adv|Maybe tomorrow.
please|zəhmət olmasa|adv|Please wait.
thanks|təşəkkür|n|Thanks for your help.
sorry|üzr istəyirəm|adj|Sorry, I am late.
