en|az|pos|example
man|kişi|n|A man is waiting outside.
woman|qadın|n|The woman is a manager.
child|uşaq|n|My child is at school.
family|ailə|n|I have a big family.
mother|ana|n|My mother lives in Baku.
father|ata|n|His father is a doctor.
brother|qardaş|n|I have one brother.
sister|bacı|n|My sister is a teacher.
son|oğul|n|My son is five.
daughter|qız (övlad)|n|Her daughter studies English.
wife|arvad|n|My wife works at a school.
husband|ər|n|Her husband is an engineer.
friend|dost|n|He is my best friend.
neighbour|qonşu|n|My neighbour is very quiet.
person|şəxs|n|A responsible person.
people|insanlar|n|Many people use it.
name|ad|n|What is your name?
age|yaş|n|My age is thirty.
house|ev (bina)|n|A new house.
home|ev (mənzil)|n|I work from home.
room|otaq|n|The meeting room.
kitchen|mətbəx|n|The kitchen is small.
door|qapı|n|Close the door.
window|pəncərə|n|Open the window.
table|masa|n|Put it on the table.
chair|stul|n|A comfortable chair.
bed|çarpayı|n|I go to bed at eleven.
wall|divar|n|A white wall.
floor|döşəmə / mərtəbə|n|The third floor.
key|açar|n|I lost my key.
car|maşın|n|My car is electric.
road|yol|n|The road is closed.
street|küçə|n|A busy street.
city|şəhər|n|Baku is a big city.
country|ölkə|n|Azerbaijan is my country.
world|dünya|n|Around the world.
water|su|n|A glass of water.
bread|çörək|n|Fresh bread.
meat|ət|n|I don't eat meat.
fish|balıq|n|Grilled fish.
rice|düyü|n|Rice with chicken.
fruit|meyvə|n|Fresh fruit.
vegetable|tərəvəz|n|Green vegetables.
milk|süd|n|Milk and sugar.
tea|çay|n|A cup of tea.
coffee|qəhvə|n|Coffee, please.
sugar|şəkər|n|No sugar for me.
salt|duz|n|Add some salt.
egg|yumurta|n|Two eggs.
soup|şorba|n|Hot soup.
food|yemək|n|The food is good.
breakfast|səhər yeməyi|n|I skip breakfast.
lunch|nahar|n|Lunch is at one.
dinner|şam yeməyi|n|Dinner with family.
restaurant|restoran|n|A good restaurant.
shop|mağaza|n|The shop is closed.
market|bazar|n|I go to the market.
money|pul|n|I need money.
price|qiymət|n|What is the price?
card|kart|n|Pay by card.
cash|nağd|n|Cash only.
bill|hesab|n|The bill, please.
clothes|paltar|n|New clothes.
shirt|köynək|n|A white shirt.
shoes|ayaqqabı|n|Black shoes.
jacket|gödəkçə|n|Take your jacket.
bag|çanta|n|A laptop bag.
watch|saat (qol)|n|A smart watch.
glasses|eynək|n|I wear glasses.
head|baş|n|My head hurts.
eye|göz|n|My eyes are tired.
ear|qulaq|n|In one ear.
hand|əl|n|Wash your hands.
foot|ayaq|n|My foot hurts.
heart|ürək|n|A strong heart.
body|bədən|n|The whole body.
health|sağlamlıq|n|Health comes first.
doctor|həkim|n|Call a doctor.
hospital|xəstəxana|n|He is in hospital.
medicine|dərman|n|Take this medicine.
pain|ağrı|n|Back pain.
time|vaxt|n|I have no time.
hour|saat|n|Two hours.
minute|dəqiqə|n|Five minutes.
day|gün|n|A long day.
week|həftə|n|Next week.
month|ay|n|Every month.
year|il|n|Last year.
morning|səhər|n|Good morning.
afternoon|günorta|n|This afternoon.
evening|axşam|n|Good evening.
night|gecə|n|Late at night.
Monday|bazar ertəsi|n|The meeting is on Monday.
Tuesday|çərşənbə axşamı|n|See you Tuesday.
Wednesday|çərşənbə|n|Wednesday morning.
Thursday|cümə axşamı|n|Thursday evening.
Friday|cümə|n|The deadline is Friday.
Saturday|şənbə|n|I rest on Saturday.
Sunday|bazar|n|Sunday is free.
weather|hava|n|The weather is nice.
rain|yağış|n|Heavy rain.
snow|qar|n|Snow in winter.
wind|külək|n|Strong wind in Baku.
sun|günəş|n|The sun is bright.
summer|yay|n|A hot summer.
winter|qış|n|A cold winter.
spring|yaz|n|Spring is short.
autumn|payız|n|Autumn in Baku.
school|məktəb|n|My son goes to school.
university|universitet|n|I study at university.
student|tələbə|n|A good student.
teacher|müəllim|n|An English teacher.
book|kitab|n|Read this book.
word|söz|n|A new word.
question|sual|n|A good question.
answer|cavab|n|The correct answer.
language|dil|n|The English language.
music|musiqi|n|I like music.
film|film|n|A good film.
game|oyun|n|A football game.
football|futbol|n|I watch football.
team|komanda|n|Our team is strong.
holiday|bayram / məzuniyyət|n|A public holiday.
trip|səfər|n|A business trip.
ticket|bilet|n|Buy a ticket.
hotel|otel|n|Book a hotel.
airport|hava limanı|n|Meet me at the airport.
train|qatar|n|The train is late.
bus|avtobus|n|Take the bus.
