be|bi
have|hev
do|du
say|sey
go|gou
get|get
make|meyk
know|nou
think|sink
take|teyk
see|si
come|kam
want|vont
use|yuz
find|faynd
give|giv
tell|tel
work|vörk
call|kol
try|tray
ask|ask
need|nid
feel|fil
become|bikam
leave|liv
put|put
mean|min
keep|kip
let|let
begin|bigin
start|start
stop|stop
finish|finiş
help|help
talk|tok
turn|törn
show|şou
hear|hiır
play|pley
run|ran
move|muv
live|liv
believe|biliv
bring|brinq
happen|hepın
write|rayt
read|rid
sit|sit
stand|stend
lose|luz
pay|pey
meet|mit
include|inklud
continue|kıntinyu
set|set
learn|lörn
change|çeync
lead|lid
understand|andırstend
watch|voç
follow|folou
create|krieyt
speak|spik
spend|spend
grow|grou
open|oupın
close|klouz
walk|vok
win|vin
teach|tiç
offer|ofır
remember|rimembır
forget|fıget
consider|kınsidır
appear|ıpiır
buy|bay
sell|sel
serve|sörv
send|send
receive|risiv
build|bild
stay|stey
fall|fol
cut|kat
reach|riç
kill|kil
raise|reyz
pass|pas
decide|disayd
return|ritörn
explain|ikspleyn
hope|houp
develop|divelıp
carry|keri
break|breyk
agree|ıgri
support|sıport
hit|hit
produce|prıdyus
eat|it
drink|drinq
cover|kavır
catch|keç
draw|dro
choose|çuz
cause|koz
allow|ılau
add|ed
check|çek
save|seyv
delete|dilit
fix|fiks
install|instol
update|apdeyt
test|test
prepare|pripeer
manage|menic
control|kıntroul
protect|prıtekt
prevent|privent
report|riport
solve|solv
improve|impruv
increase|inkris
reduce|ridyus
compare|kımpeer
avoid|ıvoyd
suggest|sıcest
confirm|kınförm
approve|ıpruv
require|rikvayır
provide|prıvayd
share|şeer
join|coyn
wait|veyt
sleep|slip
wake up|veyk ap
drive|drayv
fly|flay
travel|trevıl
visit|vizit
wear|veer
cook|kuk
clean|klin
wash|voş
count|kaunt
measure|mejır
plan|plen
apply|ıplay
accept|ıksept
refuse|rifyuz
worry|vari
enjoy|incoy
