en|az|pos|example
turn on|yandırmaq / işə salmaq|phr v|Turn on the server.
turn off|söndürmək|phr v|Turn off the alarm.
set up|qurmaq|phr v|Set up a new account.
log in|daxil olmaq|phr v|I can't log in.
log out|çıxmaq|phr v|Log out before leaving.
back up|ehtiyat nüsxə çıxarmaq|phr v|Back up the database daily.
shut down|söndürmək|phr v|Shut down the machine.
find out|öyrənmək|phr v|I need to find out why.
figure out|başa düşmək|phr v|I figured out the problem.
work out|həll olunmaq|phr v|It worked out well.
carry out|həyata keçirmək|phr v|Carry out the test.
point out|diqqətə çatdırmaq|phr v|He pointed out the error.
give up|əl çəkmək|phr v|Don't give up.
look for|axtarmaq|phr v|I am looking for the file.
look into|araşdırmaq|phr v|I will look into it.
look after|qayğısına qalmaq|phr v|Who looks after the servers?
take care of|qayğı göstərmək|phr v|I will take care of it.
deal with|məşğul olmaq|phr v|I deal with security issues.
come up with|irəli sürmək|phr v|We came up with a solution.
run out of|tükənmək|phr v|We ran out of disk space.
end up|nəticələnmək|phr v|We ended up rebuilding it.
put off|təxirə salmaq|phr v|Don't put off the update.
call off|ləğv etmək|phr v|They called off the meeting.
bring up|gündəmə gətirmək|phr v|Bring it up at the meeting.
follow up|təqib etmək|phr v|I will follow up tomorrow.
catch up|çatmaq / xəbər tutmaq|phr v|Let's catch up next week.
go on|davam etmək|phr v|What is going on?
go through|nəzərdən keçirmək|phr v|Go through the checklist.
get in touch|əlaqə saxlamaq|phr v|Get in touch with the vendor.
keep up with|ayaqlaşmaq|phr v|Keep up with new threats.
show up|gəlmək / görünmək|phr v|He didn't show up.
break down|xarab olmaq|phr v|The system broke down.
sign up|qeydiyyatdan keçmək|phr v|Sign up for the course.
fill in|doldurmaq|phr v|Fill in the form.
hand in|təqdim etmək|phr v|Hand in the report.
sort out|həll etmək|phr v|Sort out the issue.
check out|yoxlamaq|phr v|Check out this tool.
find time|vaxt tapmaq|phr|I can't find time for it.
make sure|əmin olmaq|phr|Make sure the backup ran.
take place|baş vermək|phr|The audit takes place in June.
take part|iştirak etmək|phr|I took part in the training.
pay attention|diqqət yetirmək|phr|Pay attention to the logs.
make a decision|qərar vermək|phr|We made a decision yesterday.
make a mistake|səhv etmək|phr|Everyone makes mistakes.
take a look|nəzər salmaq|phr|Take a look at this error.
take a break|fasilə vermək|phr|Let's take a break.
keep in mind|yadda saxlamaq|phr|Keep in mind the deadline.
in charge of|məsul olmaq|phr|I am in charge of IT security.
on time|vaxtında|phr|The report was on time.
in time|vaxtı çatmamış|phr|We finished just in time.
as soon as possible|mümkün qədər tez|phr|Send it as soon as possible.
by the way|yeri gəlmişkən|phr|By the way, the cert expires soon.
at the moment|hazırda|phr|I am busy at the moment.
in advance|əvvəlcədən|phr|Thanks in advance.
on purpose|qəsdən|phr|He did it on purpose.
of course|əlbəttə|phr|Of course, no problem.
in fact|əslində|phr|In fact, it is simpler.
for example|məsələn|phr|For example, this rule.
such as|kimi / məsələn|phr|Tools such as Nmap.
in other words|başqa sözlə|phr|In other words, it failed.
according to|görə|phr|According to the policy.
due to|səbəbindən|phr|Due to a network issue.
instead of|əvəzinə|phr|Use SSH instead of Telnet.
as well as|həmçinin|phr|Servers as well as laptops.
at least|ən azı|phr|At least twelve characters.
at most|ən çoxu|phr|At most three attempts.
so far|indiyə qədər|phr|So far, no problems.
right now|elə indi|phr|I need it right now.
How are you?|Necəsən?|phr|How are you today?
Nice to meet you.|Tanış olmağıma şadam.|phr|Nice to meet you, Mr. Smith.
Could you help me?|Kömək edə bilərsiniz?|phr|Could you help me with this?
I would like to...|İstərdim ki...|phr|I would like to book a room.
Let me check.|İcazə verin yoxlayım.|phr|Let me check the logs.
I am not sure.|Əmin deyiləm.|phr|I am not sure about that.
It depends.|Asılıdır.|phr|It depends on the load.
That makes sense.|Bu məntiqlidir.|phr|That makes sense, thanks.
I agree with you.|Sizinlə razıyam.|phr|I agree with you on this.
Could you repeat that?|Təkrar edə bilərsiniz?|phr|Sorry, could you repeat that?
Speak more slowly, please.|Zəhmət olmasa yavaş danışın.|phr|Could you speak more slowly, please?
What do you mean?|Nəyi nəzərdə tutursunuz?|phr|What do you mean by that?
Let me know.|Mənə xəbər verin.|phr|Let me know when it is done.
I will get back to you.|Sizə geri dönəcəyəm.|phr|I will get back to you tomorrow.
