en|az|pos|example
be|olmaq|v|I want to be ready.
have|malik olmaq|v|I have two meetings.
do|etmək|v|What do you do?
say|demək|v|Say it again.
go|getmək|v|I go to work by car.
get|almaq / əldə etmək|v|I get an email every hour.
make|düzəltmək|v|Make a copy of this.
know|bilmək|v|I know the answer.
think|düşünmək|v|I think it is fine.
take|götürmək|v|Take this file.
see|görmək|v|I see the problem.
come|gəlmək|v|Come to my office.
want|istəmək|v|I want to learn English.
use|istifadə etmək|v|Use a strong password.
find|tapmaq|v|I can't find the file.
give|vermək|v|Give me five minutes.
tell|demək / danışmaq|v|Tell me what happened.
work|işləmək|v|The system works well.
call|zəng etmək|v|Call me later.
try|cəhd etmək|v|Try to restart it.
ask|soruşmaq|v|Ask the manager.
need|ehtiyacı olmaq|v|We need more space.
feel|hiss etmək|v|I feel tired.
become|olmaq / çevrilmək|v|It became a big problem.
leave|tərk etmək|v|I leave at six.
put|qoymaq|v|Put it on the server.
mean|mənasını vermək|v|What does this mean?
keep|saxlamaq|v|Keep the logs for a year.
let|icazə vermək|v|Let me check.
begin|başlamaq|v|The test begins on Monday.
start|başlamaq|v|Start the service.
stop|dayandırmaq|v|Stop the process.
finish|bitirmək|v|I finished the report.
help|kömək etmək|v|Can you help me?
talk|danışmaq|v|We need to talk.
turn|çevirmək / döndərmək|v|Turn off the machine.
show|göstərmək|v|Show me the error.
hear|eşitmək|v|I hear you.
play|oynamaq|v|I play football on Sunday.
run|qaçmaq / işlətmək|v|Run this command.
move|hərəkət etmək|v|Move the file to backup.
live|yaşamaq|v|I live in Baku.
believe|inanmaq|v|I believe it will work.
bring|gətirmək|v|Bring your laptop.
happen|baş vermək|v|What happened?
write|yazmaq|v|Write it down.
read|oxumaq|v|Read the manual.
sit|oturmaq|v|Please sit down.
stand|dayanmaq|v|Stand here.
lose|itirmək|v|Don't lose the key.
pay|ödəmək|v|I pay by card.
meet|görüşmək|v|Let's meet at ten.
include|daxil etmək|v|The price includes tax.
continue|davam etmək|v|Continue the installation.
set|qurmaq / təyin etmək|v|Set a new password.
learn|öyrənmək|v|I learn English every day.
change|dəyişmək|v|Change the settings.
lead|rəhbərlik etmək|v|He leads the IT team.
understand|başa düşmək|v|I don't understand.
watch|izləmək|v|Watch the traffic.
follow|izləmək / riayət etmək|v|Follow the procedure.
create|yaratmaq|v|Create a new user.
speak|danışmaq|v|I speak a little English.
spend|xərcləmək|v|We spend too much time on this.
grow|böyümək|v|The company is growing.
open|açmaq|v|Open the file.
close|bağlamaq|v|Close the port.
walk|gəzmək|v|I walk to work.
win|udmaq|v|Our team won.
teach|öyrətmək|v|She teaches English.
offer|təklif etmək|v|They offered a good price.
remember|xatırlamaq|v|Remember to save it.
forget|unutmaq|v|Don't forget the meeting.
consider|nəzərə almaq|v|Consider the risk.
appear|görünmək|v|An error appears here.
buy|almaq (satın)|v|I want to buy a car.
sell|satmaq|v|They sell software.
serve|xidmət etmək|v|This server serves 200 users.
send|göndərmək|v|Send me the report.
receive|almaq (qəbul)|v|I received your email.
build|qurmaq / tikmək|v|We build our own tools.
stay|qalmaq|v|Stay online.
fall|düşmək|v|Prices fell last month.
cut|kəsmək|v|Cut the cable.
reach|çatmaq|v|We reached the target.
kill|öldürmək / dayandırmaq|v|Kill the process.
raise|qaldırmaq|v|Raise a ticket.
pass|keçmək|v|I passed the exam.
sell|satmaq|v|They sell insurance.
decide|qərar vermək|v|We decided to wait.
return|qayıtmaq|v|I return at five.
explain|izah etmək|v|Explain the error to me.
hope|ümid etmək|v|I hope it works.
develop|inkişaf etdirmək|v|We develop our own software.
carry|daşımaq|v|Carry the box.
break|sındırmaq|v|Don't break the link.
receive|qəbul etmək|v|We receive daily reports.
agree|razılaşmaq|v|I agree with you.
support|dəstəkləmək|v|We support 200 users.
hit|vurmaq|v|Hit Enter.
produce|istehsal etmək|v|The tool produces a report.
eat|yemək|v|I eat lunch at one.
drink|içmək|v|I drink tea in the morning.
cover|örtmək / əhatə etmək|v|The policy covers all users.
catch|tutmaq|v|Catch the error early.
draw|çəkmək (rəsm)|v|Draw a diagram.
choose|seçmək|v|Choose an option.
