en|az|pos|example|tel
passport|pasport|n|Show me your passport.|pasport
visa|viza|n|I need a Schengen visa.|vizı
boarding pass|minik talonu|n|Print your boarding pass.|bordinq pas
flight|uçuş|n|My flight is at seven.|flayt
departure|yola düşmə|n|The departure gate is B12.|dipa:çır
arrival|gəliş|n|Arrival time is nine.|ırayvıl
gate|çıxış qapısı|n|Go to gate five.|geyt
terminal|terminal|n|Terminal two, please.|törmınıl
check-in|qeydiyyat|n|Check-in closes in an hour.|çek in
luggage|baqaj|n|My luggage is heavy.|lagic
suitcase|çamadan|n|A small suitcase.|sutkeys
hand luggage|əl yükü|n|Only hand luggage.|hend lagic
customs|gömrük|n|Nothing to declare at customs.|kastımz
declare|bəyan etmək|v|Do you have anything to declare?|dikleer
border|sərhəd|n|The border is closed.|bordır
delay|gecikmə|n|A two-hour delay.|diley
cancelled|ləğv edilmiş|adj|My flight was cancelled.|kensıld
connection|birləşmə reysi|n|I missed my connection.|kınekşın
transit|tranzit|n|I am in transit.|trensit
one way|birtərəfli|adj|A one way ticket.|van vey
return ticket|gediş-gəliş bileti|n|A return ticket to Dubai.|ritörn tikit
book|rezerv etmək|v|I booked a hotel.|buk
reservation|rezervasiya|n|I have a reservation.|rezırveyşın
booking|rezervasiya|n|My booking number is 4471.|bukinq
cancel|ləğv etmək|v|I want to cancel my booking.|kensıl
confirm|təsdiqləmək|v|Confirm my reservation, please.|kınförm
single room|tək otaq|n|A single room for two nights.|sinqıl rum
double room|ikinəfərlik otaq|n|A double room, please.|dabıl rum
check out|otaqdan çıxmaq|phr v|Check out is at eleven.|çek aut
reception|qəbul|n|Ask at the reception.|risepşın
key card|otaq kartı|n|My key card does not work.|ki kard
lift|lift|n|The lift is on the left.|lift
floor|mərtəbə|n|Room 305 on the third floor.|flor
breakfast included|səhər yeməyi daxil|phr|Is breakfast included?|brekfıst inkludid
towel|dəsmal|n|I need a clean towel.|tauıl
air conditioning|kondisioner|n|The air conditioning is broken.|eer kındişınınq
wifi password|wifi şifrəsi|n|What is the wifi password?|vayfay pasvörd
receipt|qəbz|n|Can I have a receipt?|risit
invoice|hesab|n|Send the invoice to my company.|invoys
tip|çaypulu|n|Is the tip included?|tip
menu|menyu|n|Can I see the menu?|menyu
order|sifariş vermək|v|I would like to order.|ordır
bill|hesab|n|The bill, please.|bil
starter|qəlyanaltı|n|A soup as a starter.|startır
main course|əsas yemək|n|Chicken as a main course.|meyn kors
dessert|desert|n|No dessert, thank you.|dizört
still water|qazsız su|n|Still water, please.|stil votır
sparkling water|qazlı su|n|Sparkling water for me.|sparklinq votır
vegetarian|vegetarian|adj|Do you have vegetarian food?|vecıteeriın
allergic|allergiyalı|adj|I am allergic to nuts.|ılörcik
directions|istiqamət|n|Can you give me directions?|dırekşınz
map|xəritə|n|Show me on the map.|mep
straight ahead|düz irəli|phr|Go straight ahead.|streyt ıhed
turn left|sola dön|phr|Turn left at the corner.|törn left
turn right|sağa dön|phr|Turn right after the bank.|törn rayt
corner|künc|n|The shop on the corner.|kornır
crossroads|dördyol|n|Stop at the crossroads.|krosroudz
traffic light|svetofor|n|Turn at the traffic light.|trefik layt
distance|məsafə|n|What is the distance?|distıns
far|uzaq|adj|Is it far from here?|far
close by|yaxınlıqda|phr|The metro is close by.|klous bay
underground|metro|n|Take the underground.|andırgraund
platform|platforma|n|The train leaves from platform two.|pletform
timetable|cədvəl|n|Check the timetable.|taymteybıl
fare|gediş haqqı|n|The fare is three manats.|feer
taxi rank|taksi dayanacağı|n|The taxi rank is outside.|teksi renk
rent a car|maşın kirayələmək|phr|I want to rent a car.|rent ı kar
fuel|yanacaq|n|The fuel tank is empty.|fyuıl
insurance|sığorta|n|Is insurance included?|inşuırıns
driving licence|sürücülük vəsiqəsi|n|Show your driving licence.|drayvinq laysıns
speed limit|sürət həddi|n|The speed limit is 60.|spid limit
parking|dayanacaq|n|Free parking for guests.|parkinq
currency exchange|valyuta mübadiləsi|n|Where is the currency exchange?|karınsi iksçeync
cash machine|bankomat|n|Is there a cash machine nearby?|keş mışin
withdraw|nağdlaşdırmaq|v|I need to withdraw money.|viddro
exchange|dəyişmək|v|I want to exchange dollars.|iksçeync
commission|komissiya|n|What is the commission?|kımişın
emergency|təcili hal|n|In an emergency, call 112.|imörcınsi
pharmacy|aptek|n|Where is the nearest pharmacy?|farmısi
insurance card|sığorta kartı|n|Bring your insurance card.|inşuırıns kard
lost|itmiş|adj|I am lost.|lost
stolen|oğurlanmış|adj|My wallet was stolen.|stoulın
police station|polis bölməsi|n|Take me to the police station.|pılis steyşın
embassy|səfirlik|n|Call the embassy.|embısi
sightseeing|gəzinti|n|We went sightseeing.|saytsiinq
museum|muzey|n|The museum opens at ten.|myuziım
guided tour|bələdçili tur|n|Book a guided tour.|gaydid tuır
souvenir|suvenir|n|I bought a souvenir.|suvıniır
postcard|açıqca|n|Send me a postcard.|poustkard
crowded|izdihamlı|adj|The old city is crowded.|kraudid
queue|növbə|n|There is a long queue.|kyu
entrance fee|giriş haqqı|n|The entrance fee is ten manats.|entrıns fi
open all day|bütün gün açıq|phr|The market is open all day.|oupın ol dey
How much is it?|Neçəyədir?|phr|How much is it in total?|hau maç iz it
Where is the...?|... haradadır?|phr|Where is the bus stop?|veer iz dı
Do you speak English?|İngilis dilində danışırsınız?|phr|Excuse me, do you speak English?|du yu spik inqliş
I do not understand.|Başa düşmürəm.|phr|Sorry, I do not understand.|ay du not andırstend
Can you help me?|Kömək edə bilərsiniz?|phr|Excuse me, can you help me?|ken yu help mi
