en|az|pos|example|tel
résumé|CV|n|Send me your résumé.|rezyumey
cover letter|müşayiət məktubu|n|Attach a cover letter.|kavır letır
application|müraciət|n|I submitted my application.|eplikeyşın
apply for|müraciət etmək|phr v|I applied for the role.|ıplay for
vacancy|vakansiya|n|An open vacancy in IT.|veykınsi
position|vəzifə|n|I applied for a senior position.|pızişın
role|rol / vəzifə|n|The role reports to the CIO.|roul
candidate|namizəd|n|A strong candidate.|kendıdıt
recruiter|işə qəbul mütəxəssisi|n|The recruiter called me.|rikrutır
shortlist|qısa siyahı|n|I made the shortlist.|şortlist
interview|müsahibə|n|The interview is on Monday.|intırvyu
screening|ilkin seçim|n|A phone screening first.|skrininq
assessment|qiymətləndirmə|n|A technical assessment.|ısesmınt
offer|təklif|n|I received an offer.|ofır
salary|maaş|n|What is the salary range?|selıri
negotiate|danışıqlar aparmaq|v|I negotiated the salary.|nigouşieyt
benefits|əlavə güzəştlər|n|Health benefits are included.|benıfits
bonus|mükafat|n|An annual bonus.|bounıs
notice period|xəbərdarlıq müddəti|n|My notice period is one month.|noutis piıriıd
probation|sınaq müddəti|n|A three-month probation.|proubeyşın
promotion|vəzifə artımı|n|He got a promotion.|prımouşın
resign|istefa vermək|v|I resigned last month.|rizayn
experience|təcrübə|n|Ten years of experience.|ikspiıriıns
background|keçmiş təcrübə|n|My background is in security.|bekgraund
qualification|ixtisas|n|A relevant qualification.|kvolıfıkeyşın
degree|diplom|n|A degree in computer science.|digri
certification|sertifikatlaşma|n|I hold an RHCSA certification.|sörtıfıkeyşın
skill|bacarıq|n|A rare skill.|skil
strength|güclü tərəf|n|My main strength is analysis.|strenks
weakness|zəif tərəf|n|My weakness is delegating.|viknıs
achievement|nailiyyət|n|My biggest achievement was the migration.|ıçivmınt
responsibility|məsuliyyət|n|My responsibility is security.|risponsıbiliti
duty|vəzifə borcu|n|Daily duties include monitoring.|dyuti
task|tapşırıq|n|I handle complex tasks.|task
challenge|çətinlik|n|The biggest challenge was time.|çelinc
solution|həll|n|I proposed a solution.|sıluşın
outcome|nəticə|n|The outcome was positive.|autkam
impact|təsir|n|It had a real impact on costs.|impekt
contribute|töhfə vermək|v|I contributed to the project.|kıntribyut
lead|rəhbərlik etmək|v|I lead a team of three.|lid
supervise|nəzarət etmək|v|I supervise two engineers.|supırvayz
delegate|həvalə etmək|v|I delegate routine tasks.|delıgeyt
collaborate|əməkdaşlıq etmək|v|I collaborate with vendors.|kılebıreyt
coordinate|əlaqələndirmək|v|I coordinate with the CBS vendor.|kouordıneyt
implement|tətbiq etmək|v|I implemented the new firewall.|implımınt
optimize|optimallaşdırmaq|v|I optimized the query.|optımayz
automate|avtomatlaşdırmaq|v|I automated the reporting.|otımeyt
streamline|sadələşdirmək|v|We streamlined the process.|strimlayn
oversee|nəzarət etmək|v|I oversee all IT operations.|ouvırsi
handle|öhdəsindən gəlmək|v|I handle incidents daily.|hendıl
maintain|saxlamaq|v|I maintain twenty servers.|meynteyn
troubleshoot|nasazlığı aradan qaldırmaq|v|I troubleshoot network issues.|trabılşut
motivated|motivasiyalı|adj|I am highly motivated.|moutıveytid
reliable|etibarlı|adj|I am a reliable colleague.|rilayıbıl
proactive|təşəbbüskar|adj|I take a proactive approach.|prouektiv
detail-oriented|detallara diqqətli|adj|I am detail-oriented.|diteyl oriıntid
adaptable|uyğunlaşan|adj|I am adaptable to change.|ıdeptıbıl
self-taught|öz-özünə öyrənən|adj|I am a self-taught developer.|self tot
hands-on|praktiki|adj|I have hands-on experience.|hendz on
fluent|sərbəst danışan|adj|I am fluent in Azerbaijani.|fluınt
proficient|bacarıqlı|adj|I am proficient in SQL.|prıfişınt
familiar with|tanış|adj|I am familiar with Ansible.|fımiliır vid
willing to|hazır|adj|I am willing to relocate.|vilinq tu
relocate|köçmək|v|I am ready to relocate abroad.|rilıkeyt
remote work|uzaqdan iş|n|The role allows remote work.|rimout vörk
full-time|tam ştat|adj|A full-time position.|ful taym
part-time|yarım ştat|adj|A part-time contract.|part taym
overtime|əlavə iş saatı|n|I often work overtime.|ouvırtaym
shift|növbə|n|I work the morning shift.|şift
workload|iş yükü|n|The workload is heavy.|vörkloud
deadline pressure|son tarix təzyiqi|n|I work well under deadline pressure.|dedlayn preşır
career path|karyera yolu|n|A clear career path.|kıriır pas
growth|inkişaf|n|I look for growth opportunities.|grous
opportunity|imkan|n|A great opportunity.|opırtyunıti
goal|məqsəd|n|My goal is to become an architect.|goul
ambition|iddia|n|My ambition is to lead an IT department.|embişın
strengths and weaknesses|güclü və zəif tərəflər|phr|Tell me your strengths and weaknesses.|strenks end viknısız
tell me about yourself|özünüz haqqında danışın|phr|So, tell me about yourself.|tel mi ıbaut yorself
why should we hire you|niyə sizi işə götürək|phr|Why should we hire you?|vay şud vi hayır yu
where do you see yourself|özünüzü harada görürsünüz|phr|Where do you see yourself in five years?|veer du yu si yorself
what are your salary expectations|maaş gözləntiniz|phr|What are your salary expectations?|vot ar yor selıri ikspekteyşınz
do you have any questions|sualınız var|phr|Do you have any questions for us?|du yu hev eni kvesçınz
I have been working|işləyirəm|phr|I have been working in banking for ten years.|ay hev bin vörkinq
I am responsible for|məsulam|phr|I am responsible for information security.|ay em risponsıbıl for
in my current role|hazırkı vəzifəmdə|phr|In my current role, I manage the whole IT stack.|in may karınt roul
I would say that|deyərdim ki|phr|I would say that my strength is problem solving.|ay vud sey det
for example|məsələn|phr|For example, I cut report time from eight seconds to one.|for igzampıl
as a result|nəticədə|phr|As a result, we passed the audit.|ez ı rizalt
that is why|buna görə|phr|That is why I applied here.|det iz vay
reference|zəmanət verən şəxs|n|I can provide references.|refrıns
recommendation|tövsiyə|n|A letter of recommendation.|rekımendeyşın
onboarding|işə uyğunlaşma|n|Onboarding takes two weeks.|onbordinq
appraisal|qiymətləndirmə|n|An annual performance appraisal.|ıpreyzıl
feedback session|rəy görüşü|n|A monthly feedback session.|fidbek seşın
turnover|kadr dəyişikliyi|n|Staff turnover is low here.|törnouvır
redundancy|ixtisar|n|He lost his job in a redundancy.|ridandınsi
freelance|sərbəst iş|n|I do freelance work at weekends.|frilans
contractor|podratçı|n|We hired an external contractor.|kıntrektır
