I|ay
you|yu
he|hi
she|şi
it|it
we|vi
they|dey
my|may
your|yor
his|hiz
her|hör
our|auır
their|deer
this|dis
that|det
these|diz
those|douz
who|hu
what|vot
where|veer
when|ven
why|vay
how|hau
which|viç
and|end
but|bat
or|or
because|bikoz
if|if
so|sou
also|olsou
not|not
yes|yes
no|nou
in|in
on|on
at|et
to|tu
from|from
with|vid
without|vidaut
for|for
of|ov
about|ıbaut
under|andır
over|ouvır
between|bitvin
near|niır
after|aftır
before|bifor
during|dyuurinq
until|antil
a|ı
the|dı
some|sam
any|eni
all|ol
many|meni
much|maç
few|fyu
little|litl
more|mor
most|moust
other|adır
same|seym
every|evri
each|iç
both|bous
one|van
two|tu
three|sri
four|for
five|fayv
six|siks
seven|sevın
eight|eyt
nine|nayn
ten|ten
hundred|handrıd
thousand|sauzınd
million|milyın
first|först
second|sekınd
last|last
next|nekst
here|hiır
there|deer
now|nau
then|den
today|tıdey
tomorrow|tımorou
yesterday|yestırdey
always|olveyz
never|nevır
often|ofın
sometimes|samtaymz
usually|yujuıli
again|ıgeyn
still|stil
already|olredi
yet|yet
soon|sun
very|veri
too|tu
enough|inaf
only|ounli
just|cast
maybe|meybi
please|pliz
thanks|senks
sorry|sori
