en|az|pos|example|tel
go|getmək (went / gone)|v irr|I went to Baku yesterday.|gou
come|gəlmək (came / come)|v irr|He came late.|kam
be|olmaq (was-were / been)|v irr|I was at work.|bi
have|malik olmaq (had / had)|v irr|I had two meetings.|hev
do|etmək (did / done)|v irr|What did you do?|du
say|demək (said / said)|v irr|He said nothing.|sey
see|görmək (saw / seen)|v irr|I saw the error.|si
take|götürmək (took / taken)|v irr|She took my laptop.|teyk
get|almaq (got / got)|v irr|I got your message.|get
give|vermək (gave / given)|v irr|He gave me the key.|giv
make|düzəltmək (made / made)|v irr|We made a backup.|meyk
know|bilmək (knew / known)|v irr|I knew the answer.|nou
think|düşünmək (thought / thought)|v irr|I thought it was fine.|sink
find|tapmaq (found / found)|v irr|I found the file.|faynd
tell|demək (told / told)|v irr|He told me yesterday.|tel
become|olmaq (became / become)|v irr|It became a problem.|bikam
leave|tərk etmək (left / left)|v irr|I left at six.|liv
feel|hiss etmək (felt / felt)|v irr|I felt tired.|fil
put|qoymaq (put / put)|v irr|I put it on the server.|put
bring|gətirmək (brought / brought)|v irr|He brought his laptop.|brinq
begin|başlamaq (began / begun)|v irr|The test began at nine.|bigin
keep|saxlamaq (kept / kept)|v irr|We kept the logs.|kip
hold|tutmaq (held / held)|v irr|Hold the line, please.|hould
write|yazmaq (wrote / written)|v irr|I wrote the report.|rayt
stand|dayanmaq (stood / stood)|v irr|He stood at the door.|stend
hear|eşitmək (heard / heard)|v irr|I heard the alarm.|hiır
let|icazə vermək (let / let)|v irr|He let me in.|let
mean|mənasını vermək (meant / meant)|v irr|What did you mean?|min
set|qurmaq (set / set)|v irr|I set a new password.|set
meet|görüşmək (met / met)|v irr|We met last week.|mit
run|qaçmaq (ran / run)|v irr|I ran the script.|ran
pay|ödəmək (paid / paid)|v irr|I paid by card.|pey
sit|oturmaq (sat / sat)|v irr|He sat next to me.|sit
speak|danışmaq (spoke / spoken)|v irr|She spoke to the client.|spik
lie|uzanmaq (lay / lain)|v irr|The file lay in the folder.|lay
lead|rəhbərlik etmək (led / led)|v irr|He led the project.|lid
read|oxumaq (read / read)|v irr|I read the manual.|rid
