good|gud
bad|bed
new|nyu
old|ould
big|big
small|smol
large|larc
long|lonq
short|şort
high|hay
low|lou
easy|izi
hard|hard
difficult|difikılt
simple|simpıl
important|importınt
different|difrınt
right|rayt
wrong|ronq
true|tru
false|fols
early|örli
late|leyt
fast|fast
slow|slou
quick|kvik
strong|stronq
weak|vik
safe|seyf
dangerous|deyncırıs
free|fri
busy|bizi
ready|redi
sure|şuır
possible|posıbıl
impossible|imposıbıl
necessary|nesıseri
available|ıveylıbıl
clear|kliır
full|ful
empty|empti
closed|klouzd
dirty|dörti
expensive|ikspensiv
cheap|çip
rich|riç
poor|puır
happy|hepi
sad|sed
angry|engri
tired|tayırd
afraid|ıfreyd
young|yanq
beautiful|byutıful
ugly|agli
hot|hot
cold|kould
warm|vorm
dry|dray
wet|vet
heavy|hevi
light|layt
dark|dark
bright|brayt
deep|dip
wide|vayd
narrow|nerou
thick|sik
thin|sin
loud|laud
quiet|kvayıt
famous|feymıs
serious|siriıs
funny|fani
interesting|intrestinq
boring|borinq
useful|yusful
useless|yuslıs
correct|kırekt
complete|kımplit
main|meyn
common|komın
special|speşıl
public|pablik
private|prayvıt
local|loukıl
national|neşınıl
international|intırneşınıl
real|riıl
final|faynıl
current|karınt
recent|risınt
regular|regyulır
several|sevrıl
almost|olmoust
together|tıgedır
alone|ıloun
quickly|kvikli
slowly|slouli
carefully|keerfuli
easily|izili
probably|probıbli
certainly|sörtınli
exactly|igzektli
suddenly|sadınli
finally|faynıli
especially|ispeşıli
however|hauevır
instead|insted
therefore|deerfor
actually|ekçuıli
