en|az|pos|example|tel
I am looking forward to|səbirsizliklə gözləyirəm|blok|I am looking forward to hearing from you.|ay em lukinq forvırd tu
I would like to|istərdim ki|blok|I would like to discuss the budget.|ay vud layk tu
I was wondering if|maraqlanırdım ki|blok|I was wondering if you could help.|ay voz vandırinq if
Would you mind|zəhmət olmasa|blok|Would you mind sending it again?|vud yu maynd
Do you mind if I|etsəm olar|blok|Do you mind if I join the call?|du yu maynd if ay
Let me get back to you|sizə geri dönərəm|blok|Let me get back to you on that.|let mi get bek tu yu
I will keep you posted|xəbərdar edəcəyəm|blok|I will keep you posted on the progress.|ay vil kip yu poustid
I will look into it|araşdıracağam|blok|I will look into it this afternoon.|ay vil luk intu it
Let me check and confirm|yoxlayıb təsdiqləyim|blok|Let me check and confirm by Friday.|let mi çek end kınförm
As far as I know|bildiyimə görə|blok|As far as I know, the licence is valid.|ez far ez ay nou
To be honest|düzünü desəm|blok|To be honest, the design is risky.|tu bi onıst
In my opinion|fikrimcə|blok|In my opinion, we should wait.|in may ıpinyın
From my point of view|mənim nəzərimcə|blok|From my point of view, it is too costly.|from may poynt ov vyu
It seems to me that|mənə elə gəlir ki|blok|It seems to me that the cache is stale.|it simz tu mi det
I am not entirely sure|tam əmin deyiləm|blok|I am not entirely sure about the numbers.|ay em not intayırli şuır
Correct me if I am wrong|səhv edirəmsə düzəldin|blok|Correct me if I am wrong, but the cert expired.|kırekt mi if ay em ronq
That makes sense|bu məntiqlidir|blok|That makes sense, thanks for explaining.|det meyks sens
I see your point|fikrinizi başa düşürəm|blok|I see your point, but the risk is high.|ay si yor poynt
I completely agree|tamamilə razıyam|blok|I completely agree with that approach.|ay kımplitli ıgri
I am afraid I disagree|təəssüf ki razı deyiləm|blok|I am afraid I disagree on the timeline.|ay em ıfreyd ay disıgri
That is a fair point|haqlı fikirdir|blok|That is a fair point, let us reconsider.|det iz ı feer poynt
Having said that|bununla belə|blok|Having said that, the cost is still high.|hevinq sed det
On the whole|ümumilikdə|blok|On the whole, the migration went well.|on dı houl
It depends on|asılıdır|blok|It depends on the number of users.|it dipendz on
The thing is|məsələ ondadır ki|blok|The thing is, we have no budget left.|dı sinq iz
The point is|əsas məsələ budur ki|blok|The point is, nobody tested it.|dı poynt iz
What I mean is|demək istədiyim odur ki|blok|What I mean is, we need more time.|vot ay min iz
In other words|başqa sözlə|blok|In other words, the plan failed.|in adır vördz
Let me put it this way|belə deyim|blok|Let me put it this way, it is not ready.|let mi put it dis vey
We ran into an issue|problemlə üzləşdik|blok|We ran into an issue during the upgrade.|vi ren intu ın işu
It turned out that|məlum oldu ki|blok|It turned out that the cable was loose.|it törnd aut det
As it turns out|göründüyü kimi|blok|As it turns out, the config was wrong.|ez it törnz aut
The root cause was|əsas səbəb bu idi|blok|The root cause was an expired certificate.|dı rut koz voz
We managed to|bacardıq|blok|We managed to restore it within an hour.|vi menicd tu
We ended up|nəticədə|blok|We ended up rebuilding the whole server.|vi endid ap
It is worth noting that|qeyd etmək lazımdır ki|blok|It is worth noting that the risk is low.|it iz vörs noutinq det
Bear in mind that|nəzərə alın ki|blok|Bear in mind that the licence expires soon.|beer in maynd det
Just to be clear|dəqiqləşdirim|blok|Just to be clear, this is not approved yet.|cast tu bi kliır
Let me walk you through|addım-addım izah edim|blok|Let me walk you through the process.|let mi vok yu sru
Could you walk me through|izah edə bilərsinizmi|blok|Could you walk me through the setup?|kud yu vok mi sru
Could you clarify|aydınlaşdıra bilərsinizmi|blok|Could you clarify what you mean?|kud yu klerıfay
Sorry, I did not catch that|bağışlayın, eşitmədim|blok|Sorry, I did not catch that last part.|sori ay did not keç det
Could you say that again|təkrar edə bilərsinizmi|blok|Could you say that again, please?|kud yu sey det ıgeyn
Bear with me|bir az səbr edin|blok|Bear with me, I am checking the logs.|beer vid mi
Give me a second|bir saniyə|blok|Give me a second to open the file.|giv mi ı sekınd
I am on it|üzərində işləyirəm|blok|No problem, I am on it.|ay em on it
Consider it done|həll olunmuş bilin|blok|Consider it done by tomorrow.|kınsidır it dan
That should do it|bu kifayət edər|blok|Restart the service, that should do it.|det şud du it
Let us touch base|əlaqə saxlayaq|blok|Let us touch base next week.|let as taç beys
I will follow up|təqib edəcəyəm|blok|I will follow up with the vendor.|ay vil folou ap
Keep me in the loop|məni də məlumatlandırın|blok|Please keep me in the loop.|kip mi in dı lup
Loop me in|məni də əlavə edin|blok|Loop me in when they reply.|lup mi in
Off the top of my head|tez düşünsəm|blok|Off the top of my head, about twenty users.|of dı top ov may hed
As soon as possible|mümkün qədər tez|blok|Send it as soon as possible.|ez sun ez posıbıl
At your earliest convenience|ilk fürsətdə|blok|Reply at your earliest convenience.|et yor örliıst kınvinyıns
By the end of the day|günün sonuna qədər|blok|I will have it ready by the end of the day.|bay di end ov dı dey
In the meantime|bu arada|blok|In the meantime, use the backup link.|in dı mintaym
Sooner or later|gec-tez|blok|Sooner or later we must replace it.|sunır or leytır
For the time being|hələlik|blok|For the time being, keep the old rule.|for dı taym biinq
Once and for all|birdəfəlik|blok|Let us fix it once and for all.|vans end for ol
make a decision|qərar vermək|blok|We need to make a decision today.|meyk ı disijın
make progress|irəliləyiş etmək|blok|We are making good progress.|meyk prougres
make an effort|səy göstərmək|blok|Please make an effort to reply faster.|meyk ın efırt
make a difference|fərq yaratmaq|blok|That change made a real difference.|meyk ı difrıns
make sense of|başa düşmək|blok|I cannot make sense of these logs.|meyk sens ov
take responsibility|məsuliyyət götürmək|blok|I take responsibility for the outage.|teyk risponsıbiliti
take action|tədbir görmək|blok|We must take action immediately.|teyk ekşın
take into account|nəzərə almaq|blok|Take the licence cost into account.|teyk intu ıkaunt
take advantage of|istifadə etmək|blok|Take advantage of the free trial.|teyk ıdvantic ov
take the lead|liderliyi götürmək|blok|I will take the lead on this project.|teyk dı lid
meet a deadline|son tarixə çatmaq|blok|We met the deadline without overtime.|mit ı dedlayn
meet requirements|tələblərə cavab vermək|blok|The system meets all requirements.|mit rikvayırmınts
raise a concern|narahatlıq bildirmək|blok|I raised a concern about the design.|reyz ı kınsörn
raise an issue|məsələ qaldırmaq|blok|He raised an issue during the review.|reyz ın işu
reach an agreement|razılığa gəlmək|blok|We reached an agreement with the vendor.|riç ın ıgrimınt
reach a conclusion|nəticəyə gəlmək|blok|We reached the same conclusion.|riç ı kınkluijın
draw attention to|diqqəti yönəltmək|blok|I want to draw attention to the risk.|dro ıtenşın tu
pay attention to|diqqət yetirmək|blok|Pay attention to the error code.|pey ıtenşın tu
keep track of|izləmək|blok|We keep track of every change.|kip trek ov
keep in mind|yadda saxlamaq|blok|Keep in mind the audit is in June.|kip in maynd
get in touch with|əlaqə saxlamaq|blok|Get in touch with the supplier.|get in taç vid
come to terms with|barışmaq|blok|We came to terms with the delay.|kam tu törmz vid
carry out a test|test keçirmək|blok|We carried out a full test.|keri aut ı test
run a check|yoxlama aparmaq|blok|Run a quick check on the disk.|ran ı çek
put in place|tətbiq etmək|blok|We put new controls in place.|put in pleys
set a deadline|son tarix təyin etmək|blok|Let us set a realistic deadline.|set ı dedlayn
