en|az|pos|example|tel
approach|yanaşma|n|A different approach is needed.|ıprouç
aspect|aspekt|n|Consider every aspect.|espekt
assume|güman etmək|v|Do not assume it works.|ısyum
assumption|fərziyyə|n|That is a risky assumption.|ısampşın
concept|anlayış|n|A difficult concept.|konsept
context|kontekst|n|In this context, it makes sense.|kontekst
criteria|meyarlar|n|The selection criteria are strict.|kraytiıriı
data|məlumat|n|The data shows a clear trend.|deytı
define|müəyyən etmək|v|Define the scope first.|difayn
derive|əldə etmək|v|We derived the figure from the logs.|dırayv
distinguish|fərqləndirmək|v|Distinguish cause from symptom.|distingviş
element|element|n|A key element of the design.|elımınt
establish|qurmaq|v|We established a new process.|istebliş
evidence|dəlil|n|There is no evidence of a breach.|evıdıns
factor|amil|n|Cost was the main factor.|fektır
function|funksiya|n|The main function of the tool.|fankşın
identify|müəyyənləşdirmək|v|We identified the root cause.|aydentıfay
indicate|göstərmək|v|The logs indicate a timeout.|indıkeyt
interpret|şərh etmək|v|How do you interpret this result?|intörprit
involve|əhatə etmək|v|The project involves three teams.|involv
method|metod|n|A reliable method.|mesıd
occur|baş vermək|v|The error occurs at night.|ıkör
principle|prinsip|n|The principle is simple.|prinsıpıl
process|proses|n|A slow manual process.|prouses
research|araşdırma|n|Recent research shows this.|risörç
respond|cavab vermək|v|The server did not respond.|rispond
significant|əhəmiyyətli|adj|A significant improvement.|signifıkınt
similar|oxşar|adj|A similar issue last year.|simılır
source|mənbə|n|Check the source of the data.|sors
specific|konkret|adj|Be specific about the error.|spısifik
structure|struktur|n|The structure of the report.|strakçır
theory|nəzəriyyə|n|In theory it should work.|siıri
vary|dəyişmək|v|Results vary by region.|veeri
achieve|nail olmaq|v|We achieved the target.|ıçiv
acquire|əldə etmək|v|The bank acquired new licences.|ıkvayır
adequate|kifayət qədər|adj|Adequate protection is in place.|edıkvıt
adjust|tənzimləmək|v|Adjust the threshold.|ıcast
analyse|təhlil etmək|v|Analyse the traffic first.|enılayz
apparent|aydın|adj|The cause was not apparent.|ıperınt
appropriate|münasib|adj|An appropriate response.|ıproupriıt
attribute|aid etmək|v|We attribute the delay to the network.|ıtribyut
capacity|tutum|n|The server is at full capacity.|kıpesıti
category|kateqoriya|n|A separate category of risk.|ketıgıri
circumstance|hal / şərait|n|Under these circumstances, we waited.|sörkımstıns
component|komponent|n|A critical component failed.|kımpounınt
comprehensive|hərtərəfli|adj|A comprehensive review.|komprihensiv
conclude|nəticə çıxarmaq|v|We concluded that it was a config error.|kınklud
consequence|nəticə|n|The consequence was downtime.|konsıkvıns
considerable|xeyli|adj|A considerable improvement.|kınsidırıbıl
consistent|ardıcıl / uyğun|adj|The results are consistent.|kınsistınt
constitute|təşkil etmək|v|These files constitute the evidence.|konstıtyut
contrast|təzad|n|In contrast, the old system was slow.|kontrast
contribute|töhfə vermək|v|Several factors contributed to the failure.|kıntribyut
convert|çevirmək|v|Convert the file to CSV.|kınvört
demonstrate|nümayiş etdirmək|v|The test demonstrates the risk.|demınstreyt
denote|bildirmək|v|Red denotes a critical alert.|dinout
despite|baxmayaraq|prep|Despite the delay, we finished.|dispayt
determine|müəyyən etmək|v|We could not determine the cause.|ditörmin
distribute|paylamaq|v|Distribute the load evenly.|distribyut
emphasis|vurğu|n|The emphasis is on prevention.|emfısis
ensure|təmin etmək|v|Ensure the backup completed.|inşuır
equivalent|ekvivalent|adj|An equivalent solution.|ikvivılınt
evaluate|qiymətləndirmək|v|Evaluate three vendors.|ivelyueyt
exceed|aşmaq|v|Costs exceeded the budget.|iksid
exclude|çıxarmaq|v|Exclude test accounts.|iksklud
extract|çıxarmaq|v|Extract the data from the logs.|ikstrekt
feasible|mümkün|adj|Is that feasible by Friday?|fizıbıl
formulate|formalaşdırmaq|v|Formulate a clear policy.|formyuleyt
implication|nəticə / dolayı məna|n|The implications are serious.|implıkeyşın
implicit|üstüörtülü|adj|An implicit assumption.|implisit
impose|tətbiq etmək|v|They imposed new limits.|impouz
incorporate|daxil etmək|v|Incorporate the feedback.|inkorpıreyt
inherent|xas olan|adj|An inherent risk.|inhiırınt
initiate|başlatmaq|v|Initiate the rollback.|inişieyt
integrate|inteqrasiya etmək|v|Integrate the two systems.|intıgreyt
justify|əsaslandırmaq|v|Justify the extra cost.|castıfay
maintain|saxlamaq|v|Maintain a full audit trail.|meynteyn
modify|dəyişdirmək|v|Modify the rule slightly.|modıfay
objective|məqsəd|n|The main objective is uptime.|ıbcektiv
obtain|əldə etmək|v|Obtain written approval.|ıbteyn
parameter|parametr|n|Change one parameter at a time.|pırematır
perceive|qavramaq|v|Users perceive it as slow.|pörsiv
potential|potensial|n|The potential for abuse is high.|pıtenşıl
precise|dəqiq|adj|Give me the precise figure.|prisays
predict|proqnoz vermək|v|We cannot predict the load.|pridikt
previous|əvvəlki|adj|The previous version was stable.|priviıs
primary|əsas|adj|The primary concern is security.|praymıri
procedure|prosedur|n|Follow the standard procedure.|prısicır
prohibit|qadağan etmək|v|The policy prohibits shared accounts.|prıhibit
publication|nəşr|n|An academic publication.|pablıkeyşın
pursue|davam etdirmək|v|We pursued a different option.|pörsyu
random|təsadüfi|adj|A random sample.|rendım
range|diapazon|n|A wide range of options.|reync
ratio|nisbət|n|The ratio is three to one.|reyşiou
regime|rejim|n|A strict compliance regime.|reyjim
reject|rədd etmək|v|The system rejected the request.|ricekt
release|buraxmaq|v|They released a patch.|rilis
reluctant|könülsüz|adj|Management is reluctant to spend.|rilaktınt
rely on|güvənmək|phr v|We rely on daily backups.|rilay on
restrict|məhdudlaşdırmaq|v|Restrict access to admins.|ristrikt
retain|saxlamaq|v|Retain logs for one year.|riteyn
reveal|üzə çıxarmaq|v|The audit revealed two gaps.|rivil
scenario|ssenari|n|A worst-case scenario.|sınariou
sequence|ardıcıllıq|n|The correct sequence of steps.|sikvıns
subsequent|sonrakı|adj|Subsequent tests passed.|sabsıkvınt
sufficient|kifayət qədər|adj|Sufficient disk space.|sıfişınt
sustain|davam etdirmək|v|We cannot sustain this pace.|sısteyn
transmit|ötürmək|v|Data is transmitted over TLS.|trenzmit
undertake|öhdəsinə götürmək|v|We undertook a full review.|andırteyk
underlying|əsasında duran|adj|The underlying cause was config drift.|andırlayinq
valid|etibarlı|adj|The certificate is still valid.|velid
virtually|demək olar ki|adv|Virtually all users are affected.|vörçuıli
whereas|halbuki|conj|The old tool was slow, whereas this one is fast.|veerez
widespread|geniş yayılmış|adj|A widespread outage.|vaydspred
nonetheless|buna baxmayaraq|adv|Nonetheless, we proceeded.|nandıles
albeit|hərçənd|conj|A good result, albeit late.|olbiit
thereby|beləliklə|adv|Thereby reducing the risk.|deerbay
hence|deməli|adv|Hence the delay.|hens
namely|yəni|adv|Two banks, namely ours and theirs.|neymli
regardless of|baxmayaraq|prep|Regardless of the cost, we must do it.|rigardlıs ov
with regard to|barəsində|phr|With regard to your question,|vid rigard tu
