network|netvörk
server|sörvır
firewall|fayırvol
router|rautır
switch|sviç
port|port
gateway|geytvey
subnet|sabnet
bandwidth|bendvids
latency|leytınsi
outage|autic
downtime|dauntaym
uptime|aptaym
backup|bekap
restore|ristor
database|deytıbeys
query|kviıri
record|rekord
row|rou
column|kolım
index|indeks
schema|skimı
log|log
audit|odit
compliance|kımplayıns
regulation|regyuleyşın
requirement|rikvayırmınt
policy|polisi
procedure|prısicır
deadline|dedlayn
submit|sıbmit
review|rivyu
issue|işu
incident|insidınt
risk|risk
threat|sret
vulnerability|valnırıbiliti
patch|peç
exploit|iksployt
attack|ıtek
breach|briç
malware|melveer
phishing|fişinq
ransomware|rensımveer
encryption|inkripşın
decrypt|dikript
certificate|sörtifikıt
token|toukın
authentication|osentikeyşın
authorization|osırayzeyşın
credential|kridenşıl
password|pasvörd
account|ıkaunt
user|yuzır
permission|pörmişın
access|eksıs
grant|grant
revoke|rivouk
deny|dinay
monitor|monitır
alert|ılört
threshold|sreşould
performance|pırformıns
load|loud
storage|storic
disk|disk
memory|memıri
CPU|si-pi-yu
virtual machine|vörçuıl mışin
cloud|klaud
deployment|diploymınt
environment|invayrınmınt
production|prıdakşın
release|rilis
version|vörjın
upgrade|apgreyd
migration|maygreyşın
integration|intıgreyşın
endpoint|endpoynt
request|rikvest
response|rispons
header|hedır
payload|peyloud
timeout|taymaut
troubleshoot|trabılşut
root cause|rut koz
workaround|vörkıraund
downtime window|dauntaym vindou
rollback|roulbek
bank|benk
branch|branç
customer|kastımır
client|klayınt
account number|ıkaunt nambır
balance|belıns
transaction|trenzekşın
transfer|trensfır
payment|peymınt
loan|loun
credit|kredit
debit|debit
interest rate|intrıst reyt
deposit|dipozit
withdrawal|viddrouıl
currency|karınsi
exchange rate|iksçeync reyt
invoice|invoys
statement|steytmınt
fee|fi
budget|bacit
vendor|vendır
contract|kontrekt
agreement|ıgrimınt
department|dipartmınt
manager|menicır
staff|staf
meeting|mitinq
training|treyninq
