man|men
woman|vumın
child|çayld
family|femıli
mother|madır
father|fadır
brother|bradır
sister|sistır
son|san
daughter|dotır
wife|vayf
husband|hazbınd
friend|frend
neighbour|neybır
person|pörsın
people|pipıl
name|neym
age|eyc
house|haus
home|houm
room|rum
kitchen|kiçın
door|dor
window|vindou
table|teybıl
chair|çeer
bed|bed
wall|vol
floor|flor
key|ki
car|kar
road|roud
street|strit
city|siti
country|kantri
world|vörld
water|votır
bread|bred
meat|mit
fish|fiş
rice|rays
fruit|frut
vegetable|vecıtıbıl
milk|milk
tea|ti
coffee|kofi
sugar|şugır
salt|solt
egg|eg
soup|sup
food|fud
breakfast|brekfıst
lunch|lanç
dinner|dinır
restaurant|restırant
shop|şop
market|markit
money|mani
price|prays
card|kard
cash|keş
bill|bil
clothes|klouz
shirt|şört
shoes|şuz
jacket|cekit
bag|beg
glasses|glasız
head|hed
eye|ay
ear|iır
hand|hend
foot|fut
heart|hart
body|bodi
health|hels
doctor|doktır
hospital|hospitıl
medicine|medsin
pain|peyn
time|taym
hour|auır
minute|minit
day|dey
week|vik
month|mans
year|yiır
morning|morninq
afternoon|aftırnun
evening|ivninq
night|nayt
Monday|mandey
Tuesday|tyuzdey
Wednesday|venzdey
Thursday|sörzdey
Friday|fraydey
Saturday|setırdey
Sunday|sandey
weather|vedır
rain|reyn
snow|snou
wind|vind
sun|san
summer|samır
winter|vintır
spring|sprinq
autumn|otım
school|skul
university|yunivörsiti
student|styudınt
teacher|tiçır
book|buk
word|vörd
question|kvesçın
answer|ansır
language|lenqvic
music|myuzik
film|film
game|geym
football|futbol
team|tim
holiday|holıdey
trip|trip
ticket|tikit
hotel|houtel
airport|eerport
train|treyn
bus|bas
