en|az|pos|example|tel
dear|hörmətli|adj|Dear Mr. Aliyev,|diır
regards|hörmətlə|n|Best regards, Samir|rigardz
sincerely|səmimiyyətlə|adv|Yours sincerely,|sinsiırli
attachment|əlavə fayl|n|Please see the attachment.|ıteçmınt
attach|əlavə etmək|v|I attached the report.|ıteç
forward|yönləndirmək|v|I forwarded your email.|forvırd
reply|cavab vermək|v|Please reply by Friday.|riplay
inquiry|sorğu|n|We received your inquiry.|inkvayıri
kindly|xahiş edirik|adv|Kindly confirm receipt.|kayndli
receipt|qəbul / qəbz|n|Please confirm receipt.|risit
acknowledge|təsdiq etmək|v|We acknowledge your letter.|ıknolic
apologize|üzr istəmək|v|We apologize for the delay.|ıpolıcayz
delay|gecikmə|n|Sorry for the delay.|diley
urgent|təcili|adj|This is urgent.|örcınt
priority|prioritet|n|A high priority task.|prayorıti
attention|diqqət|n|For the attention of the manager.|ıtenşın
regarding|barəsində|prep|Regarding the contract,|rigardinq
enclosed|əlavə olunmuş|adj|Please find enclosed the invoice.|inklouzd
below|aşağıda|adv|See the table below.|bilou
above|yuxarıda|adv|As mentioned above,|ıbav
mention|qeyd etmək|v|As I mentioned earlier,|menşın
inform|məlumat vermək|v|We inform you that the office is closed.|inform
notify|xəbərdar etmək|v|Notify us before Friday.|noutıfay
clarify|aydınlaşdırmaq|v|Could you clarify this point?|klerıfay
specify|dəqiqləşdirmək|v|Please specify the amount.|spesıfay
arrange|təşkil etmək|v|We arranged a call.|ıreync
schedule|cədvəl / planlaşdırmaq|n|Schedule a meeting.|şedyul
postpone|təxirə salmaq|v|We postponed the audit.|poustpoun
cancel|ləğv etmək|v|The meeting was cancelled.|kensıl
attend|iştirak etmək|v|I will attend the call.|ıtend
convenient|münasib|adj|Is Monday convenient for you?|kınvinyınt
appreciate|qiymətləndirmək|v|I appreciate your help.|ıpriişieyt
grateful|minnətdar|adj|I am grateful for your reply.|greytful
apologies|üzrxahlıq|n|My apologies for the error.|ıpolıciz
further|əlavə / sonrakı|adj|For further information, call us.|förder
prior|əvvəlki|adj|Prior approval is required.|prayır
subsequent|sonrakı|adj|Subsequent changes were minor.|sabsıkvınt
pending|gözləyən|adj|The request is still pending.|pendinq
outstanding|ödənilməmiş / görkəmli|adj|An outstanding invoice.|autstendinq
overdue|vaxtı keçmiş|adj|The payment is overdue.|ouvırdyu
deadline|son tarix|n|We met the deadline.|dedlayn
extension|müddət uzadılması|n|We asked for an extension.|ikstenşın
proposal|təklif|n|Send us your proposal.|prıpouzıl
quotation|qiymət təklifi|n|Please send a quotation.|kvouteyşın
estimate|təxmin|n|A rough estimate.|estımıt
terms|şərtlər|n|Payment terms are 30 days.|törmz
conditions|şərtlər|n|Terms and conditions apply.|kındişınz
clause|maddə|n|See clause five of the contract.|kloz
amendment|düzəliş|n|An amendment to the agreement.|ımendmınt
signature|imza|n|We need your signature.|signıçır
stamp|möhür|n|The document needs a stamp.|stemp
draft|layihə / qaralama|n|Here is the first draft.|draft
final version|son variant|n|Attached is the final version.|faynıl vörjın
minutes|protokol|n|Please send the minutes of the meeting.|minits
agenda|gündəlik|n|The agenda for tomorrow.|ıcendı
summary|xülasə|n|A short summary of the issue.|samıri
overview|ümumi baxış|n|An overview of the project.|ouvırvyu
update|məlumat yeniləməsi|n|A weekly status update.|apdeyt
status|vəziyyət|n|What is the status of the request?|steytıs
progress|irəliləyiş|n|Good progress so far.|prougres
milestone|mərhələ|n|We reached the first milestone.|maylstoun
scope|əhatə dairəsi|n|That is outside the scope.|skoup
task|tapşırıq|n|Assign the task to me.|task
assign|tapşırmaq|v|Assign it to the network team.|ısayn
responsible|məsul|adj|Who is responsible for this?|risponsıbıl
in charge|məsul|adj|She is in charge of payroll.|in çarc
on behalf of|adından|prep|I write on behalf of the bank.|on biha:f ov
colleague|həmkar|n|My colleague will call you.|kolig
